0,名詞 （身の回りの身近なもの）
1,卵,egg
2,カバン,bag
3,バラ,rose
4,いす,chair
5,バット,bat
6,魚,fish
7,ノート,notebook
8,鉛筆,pencil
9,犬,dog
10,机,desk
11,腕時計,watch
12,ミット,mitt
13,牛乳,milk
14,花,flower
15,ドア,door
16,ボート,boat
17,ピアノ,piano
18,オレンジ,orange
19,鳥,bird
20,羊,sheep
21,カップ,cup
22,バス,bus
23,りんご,apple
24,果物,fruit
25,自動車,car
26,ケーキ,cake
27,絵%2C写真,picture
28,猫,cat
29,切手,stamp
30,飛行機,plane
31,本,book
32,ラケット,racket
33,コップ%2Cガラス,glass
34,ベッド,bed
35,手紙,letter
36,テープ,tape
37,帽子,cap
38,郵便,mail
39,箱,box
40,パン,bread
41,人形,doll
42,テーブル,table
43,木,tree
44,ペン,pen
45,地図,map
46,雌牛,cow
47,ポット,pot
48,カメラ,camera
49,手,hand
50,レモン,lemon
0,名詞 （場所、建物）
1,中庭,yard
2,銀行%2C土手,bank
3,図書館,library
4,病院,hospital
5,ホテル,hotel
6,村,village
7,台所,kitchen
8,壁,wall
9,公園,park
10,少女,girl
11,父,father
12,医者,doctor
13,パイロット,pilot
14,男の人,man
15,料理人,cook
16,姉妹,sister
17,母,mother
18,市%2C都会,city
19,窓,window
20,教会,church
21,学校,school
22,国%2Cいなか%2C地方,country
23,事務所,office
24,庭,garden
25,町,town
26,兄弟,brother
27,女性,woman
28,市民,citizen
29,親,parent
30,学生,student
31,店員,clerk
32,家族,family
33,先生,teacher
34,選手%2C演奏者,player
35,床%2C階,floor
36,店,store
37,駅,station
38,家,house
39,野原%2C競技場,field
40,日本,Japan
41,門,gate
42,部屋,room
43,おば,aunt
44,少年,boy
45,息子,son
46,看護婦,nurse
47,友人,friend
48,おじ,uncle
49,歌手,singer
50,娘,daughter
0,名詞　 （日課、運動、時、月、曜日）
1,晩,evening
2,朝,morning
3,夜,night
4,正午,noon
5,明日,tomorrow
6,時%2C〜回,time
7,午後,afternoon
8,日記,diary
9,食事,meal
10,朝食,breakfast
11,昼食,lunch
12,夕食,dinner
13,夕食,supper
14,散歩,walk
15,仕事%2C作品,work
16,バスケットボール,basketball
17,野球,baseball
18,テニス,tennis
19,宿題,homework
20,季節,season
21,春,spring
22,夏,summer
23,秋,autumn
24,秋,fall
25,冬,winter
26,分%2Cちょっとの間,minute
27,週,week
28,月,month
29,年,year
30,時間,hour
31,日,day
32,１月,January
33,２月,February
34,３月,March
35,４月,April
36,５月,May
37,６月,June
38,７月,July
39,８月,August
40,９月,September
41,１０月,October
42,１１月,November
43,１２月,December
44,日曜日,Sunday
45,月曜日,Monday
46,火曜日,Tuesday
47,水曜日,Wednesday
48,木曜日,Thursday
49,金曜日,Friday
50,土曜日,Saturday
0,動詞
1,好む,like
2,見る%2C〜に見える,look
3,読む,read
4,飲む,drink
5,歩く,walk
6,洗う,wash
7,走る,run
8,止める%2C止まる,stop
9,持っている%2C食べる,have
10,待つ,wait
11,集める,collect
12,送る,send
13,来る,come
14,欲しい,want
15,する,do
16,作る%2C〜を〜にする,make
17,乗る,ride
18,楽しむ,enjoy
19,遊ぶ%2C(スポーツを)をする%2C演奏する,play
20,歌う,sing
21,話す,speak
22,料理する,cook
23,泳ぐ,swim
24,書く%2C手紙を書く,write
25,捕まえる%2C(列車に)間に合う,catch
26,開ける,open
27,動く%2C感動させる,move
28,助ける,help
29,買う,buy
30,去る%2C残す%2C置いて行く,leave
31,会う,meet
32,住む%2C生きる,live
33,働く,work
34,行く,go
35,知っている,know
36,勉強する,study
37,食べる,eat
38,学ぶ%2C覚える,learn
39,立つ,stand
40,踊る,dance
41,売る,sell
42,到着する,arrive
43,得る%2C着く%2C乗る,get
44,置く,put
45,滞在する,stay
46,試す,try
47,与える%2C(会などを)開く,give
48,使う,use
49,訪問する,visit
50,必要とする,need
51,悲しい,sad
52,高い,high
53,遅い,slow
54,すばらしい,nice
55,これらの,these
56,すべての,all
57,あの,that
58,赤い,red
59,緑の,green
60,強い%2Cじょうぶな,strong
61,大きい,big
62,すばらしい%2C元気な%2C晴れた,fine
0,形容詞・副詞
1,幸福な%2C楽しい,happy
2,忙しい,busy
3,残念な,sorry
4,正直な,honest
5,貧乏な%2Cかわいそうな%2C不十分な,poor
6,後で,later
7,すぐに,soon
8,昨日,yesterday
9,〜時,o'clock
10,すでに,already
11,上へ,up
12,そこに,there
13,よく%2Cじょうずに,well
14,そんなに,so
15,ゆっくりと,slowly
16,まだ(〜でない),yet
17,なぜ,why
18,一番良い,best
19,悪い,bad
20,きれいな,clean
21,速い,fast
22,大きい%2C広い,large
23,やさしい%2C気楽に,easy
24,背の高い,tall
25,いくつかの,some
26,早い,early
27,この,this
28,あれらの,those
29,温暖な,warm
30,涼しい,cool
31,新しい,new
32,短い%2C背が低い,short
33,小さい%2C幼い%2Cちょっとした,little
34,暗い%2C黒い,dark
35,年をとった%2C古い,old
36,注意深い,careful
37,年下の%2C下級の,junior
38,空腹の,hungry
39,病気の,ill
40,ふつう,usually
41,今日%2C現在,today
42,速く,fast
43,今,now
44,前,ago
45,どこに,where
46,家を(へ),home
47,ずっと%2Cたいへん,much
48,はい,yes
49,もまた,also
50,〜でない,not
51,一緒に,together
52,病気で(の),sick
53,親切な,kind
54,うれしい,glad
55,良い,good
56,若い,young
57,時々,sometimes
58,しばしば,often
59,早く,early
60,いつも,always
61,再び,again
62,遠くに%2Cはるかに,far
63,ここに,here
64,非常に,very
65,どのくらい,how
66,〜もまた%2C〜すぎる,too
67,いいえ,no
68,美しい,beautiful
69,次の%2C隣の,next
70,長い,long
71,金持ちの%2C豊かな,rich
72,できる%2C有能な,able
73,暑い,hot
74,小さな,small
75,白い,white
76,黒い,black
77,ほんとうの,TRUE
78,多量の,much
79,毎〜,every
80,多くの,many
81,冷たい%2C寒い,cold
82,有名な,famous
83,青い,blue
0,名詞%2C数
1,1,one
2,2,two
3,3,three
4,4,four
5,5,five
6,6,six
7,7,seven
8,8,eight
9,9,nine
10,10,ten
11,11,eleven
12,12,twelve
13,13,thirteen
14,14,fourteen
15,15,fifteen
16,16,sixteen
17,17,seventeen
18,18,eighteen
19,19,nineteen
20,20,twenty
21,30,thirty
22,40,forty
23,50,fifty
24,60,sixty
25,70,seventy
26,80,eighty
27,90,ninety
28,プレゼント,present
29,道%2C方法,way
30,西,west
31,機会,chance
32,年齢%2C時代,age
33,右%2C権利,right
34,半分,half
35,北,north
36,学級%2C授業,class
37,危険,danger
38,たくさん,lot
39,南,south
40,科目%2C題目,subject
41,東,east
42,数,number
43,色,color
44,線%2C列,line
45,場所,place
46,メートル,meter
47,こと・物,thing
48,名前,name
49,科学,science
50,左,left
0,代名詞
1,私は(が),I
2,私の,my
3,私を,me
4,私のもの,mine
5,あなたに(を)%2Cあなたがたを,you
6,あなたの%2Cあなたがたの,your
7,あなたは%2Cあなたがたは,you
8,あなたのもの%2Cあなたがたのもの,yours
9,彼は,he
10,彼の,his
11,彼を(に),him
12,彼のもの,his
13,彼女は,she
14,彼女の,her
15,彼女を（に）,her
16,彼女のもの,hers
17,それは,it
18,それの,its
19,それを(に),it
20,私たちは,we
21,私たちの,our
22,私たちを(に),us
23,私たちのもの,ours
